Nomenclature,ReporterISO3,ProductCode,ProductDescription,ReporterName,PartnerISO3,PartnerName,TradeFlowName,TradeFlowCode,2013 in 1000 USD ,2014 in 1000 USD ,2015 in 1000 USD ,2016 in 1000 USD 
H4,EFTA,392490,- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,112919.209,124299.325,106127.928,107135.367
H4,EFTA,392510,"- Reservoirs, tanks, vats and simil",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,30751.272,34247.154,30285.944,30876.016
H4,EFTA,392520,"- Doors, windows and their frames a",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,263506.008,251894.733,227803.754,239171.864
H4,EFTA,392530,"- Shutters, blinds (including Venet",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,18597.46,18933.057,15823.395,18132.335
H4,EFTA,392590,- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,200270.92,219513.859,189001.891,182265.418
H4,EFTA,392610,- Office or school supplies,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,60732.777,62988.702,49793.368,47294.234
H4,EFTA,392620,- Articles of apparel and clothing,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,47930.594,42834.759,35520.777,35465.508
H4,EFTA,392630,"- Fittings for furniture, coachwork",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,30725.854,31954.253,30132.519,31257.754
H4,EFTA,392640,- Statuettes and Other ornamental a,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,47928.751,47556.908,44291.517,45355.833
H4,EFTA,392690,- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,1107934.09,1161678.715,1039873.48,1062008.196
H4,EFTA,400110,"- Natural rubber latex, whether or",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,603.019,985.702,837.699,1078
H4,EFTA,400121,-- Smoked sheets,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,14.707,25.741,56.992,30.327
H4,EFTA,400122,-- Technically specified Natural ru,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,1377.637,851.434,509.17,639.169
H4,EFTA,400129,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,2440.72,2493.084,1030.656,779.81
H4,EFTA,400130,"- Balata, gutta-percha, guayule, ch",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,31.403,17.731,11.005,12.102
H4,EFTA,400211,-- latex,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,10182.493,9224.052,6730.257,8976.139
H4,EFTA,400219,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,23605.577,25582.526,17863.124,15200.672
H4,EFTA,400220,- butadiene rubber (BR),Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,2221.399,3712.178,3324.743,2381.33
H4,EFTA,400231,-- Isobutene-isoprene (butyl) rubbe,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,674.19,740.683,86.889,121.547
H4,EFTA,400239,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,662.83,747.001,532.578,797.701
H4,EFTA,400241,-- latex,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,7045.048,7499.545,7069.475,7498.625
H4,EFTA,400249,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,1293.968,706.421,628.816,570.237
H4,EFTA,400251,-- latex,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,156.941,114.903,84.753,95.532
H4,EFTA,400259,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,4555.741,4872.703,4146.462,3701.745
H4,EFTA,400260,- isoprene rubber (IR),Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,3883.546,3738.112,2470.974,2449.462
H4,EFTA,400270,- Ethylene-propylene-Non-conjugated,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,23120.305,24582.107,13646.974,15216.674
H4,EFTA,400280,- Mixtures of any product of headin,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,38.699,70.301,21.364,96.209
H4,EFTA,400291,-- latex,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,380.81,447.162,299.634,339.017
H4,EFTA,400299,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,10790.995,11036.175,8138.174,7329.701
H4,EFTA,400300,Reclaimed rubber in primary forms o,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,2259.645,2994.692,2940.924,2836.13
H4,EFTA,400400,"Waste, parings and scrap of rubber ",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,7200.42,7773.075,5729.59,6052.351
H4,EFTA,400510,- Compounded with Carbon Black or s,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,11798.585,13781.66,9283.087,9282.324
H4,EFTA,400520,- Solutions; dispersions other than,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,687.428,749.347,945.899,1455.487
H4,EFTA,400591,"-- plates, sheets and strip",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,10948.372,12562.037,10964.921,10437.786
H4,EFTA,400599,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,15690.031,14006.092,11142.339,10506.522
H4,EFTA,400610,- “Camel-back” strips for retreadin,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,660.682,556.359,555.421,544.091
H4,EFTA,400690,- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,4618.895,4676.017,4917.971,6004.918
H4,EFTA,400700,Vulcanised rubber thread and cord.,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,1462.223,1984.533,1572.113,1234.001
H4,EFTA,400811,"-- plates, sheets and strip",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,26079.034,26543.869,23926.773,23680.1
H4,EFTA,400819,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,5636.095,5057.672,4458.979,4975.903
H4,EFTA,400821,"-- plates, sheets and strip",Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,55738.733,57526.375,50112.707,47119.764
H4,EFTA,400829,-- Other,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,32466.194,32255.386,27077.79,26706.247
H4,EFTA,400911,-- Without Fittings,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,24701.251,28369.502,22046.318,21379.694
H4,EFTA,400912,-- with Fittings,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,2287.705,3844.64,3073.804,2232.359
H4,EFTA,400921,-- Without Fittings,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,23942.81,23932.593,16919.963,16108.468
H4,EFTA,400922,-- with Fittings,Paises miembros del EFTA --- EFTA  ,WLD, World,Import,5,10361.097,12907.274,10742.238,12688.244
