Nomenclature,ReporterISO3,ProductCode,ProductDescription,ReporterName,PartnerISO3,PartnerName,TradeFlowName,TradeFlowCode,2013 in 1000 USD ,2014 in 1000 USD ,2015 in 1000 USD ,2016 in 1000 USD 
H4,ARG,71239,-- Other,Argentina,WLD, World,Export,6,237.787,557.981,666.855,407.368
H4,ARG,71290,- Other vegetables; mixtures of veg,Argentina,WLD, World,Export,6,3340.953,3177.259,2079.471,1675.711
H4,ARG,71310,- Peas (Pisum sativum),Argentina,WLD, World,Export,6,28920.785,32262.987,26159.518,30222.349
H4,ARG,71320,- Chickpeas (garbanzos),Argentina,WLD, World,Export,6,49825.297,26771.348,38072.906,103021.617
H4,ARG,71331,-- Beans of the species Vigna mungo,Argentina,WLD, World,Export,6,4767.038,6078.762,19397.825,25078.478
H4,ARG,71332,-- Small red (Adzuki) beans (Phaseo,Argentina,WLD, World,Export,6,244.081,86.08,509.288,1957.883
H4,ARG,71333,"-- Kidney Beans, including white pe",Argentina,WLD, World,Export,6,111156.365,279625.146,252190.574,340819.634
H4,ARG,71339,-- Other,Argentina,WLD, World,Export,6,1943.648,4919.805,1806.702,1101.787
H4,ARG,71340,- Lentils,Argentina,WLD, World,Export,6,115.492,82.03,156.549,6889.841
H4,ARG,71350,- Broad beans (Vicia faba var. majo,Argentina,WLD, World,Export,6,,,3.045,2.449
H4,ARG,71360,- Pigeon Peas (Cajanus cajan),Argentina,WLD, World,Export,6,127.65,244.059,,
H4,ARG,71390,- Other,Argentina,WLD, World,Export,6,13.75,,25.3,449.933
H4,ARG,71420,- Sweet potatoes,Argentina,WLD, World,Export,6,95.407,143.48,20.201,2.442
H4,ARG,71490,- Other,Argentina,WLD, World,Export,6,,8.258,,10.199
H4,ARG,80111,-- Desiccated,Argentina,WLD, World,Export,6,1.533,2.59,3.58,1.177
H4,ARG,80122,-- Shelled,Argentina,WLD, World,Export,6,,2.303,3.187,8.1
H4,ARG,80131,-- in shell,Argentina,WLD, World,Export,6,,,82.8,
H4,ARG,80211,-- in shell,Argentina,WLD, World,Export,6,,,36.368,979.34
H4,ARG,80212,-- Shelled,Argentina,WLD, World,Export,6,257.716,13.459,465.324,1119.676
H4,ARG,80221,-- in shell,Argentina,WLD, World,Export,6,209.087,116.644,,642.059
H4,ARG,80222,-- Shelled,Argentina,WLD, World,Export,6,1.98,6.9,7.825,6.9
H4,ARG,80231,-- in shell,Argentina,WLD, World,Export,6,7873.113,12613.71,10165.535,3906.951
H4,ARG,80232,-- Shelled,Argentina,WLD, World,Export,6,1826.39,2542.903,747.995,1930.519
H4,ARG,80251,-- in shell,Argentina,WLD, World,Export,6,646.065,548.374,753.956,91.55
H4,ARG,80252,-- Shelled,Argentina,WLD, World,Export,6,915.204,466.881,1138.383,723.854
H4,ARG,80290,- Other,Argentina,WLD, World,Export,6,120.609,351.37,316.806,615.157
H4,ARG,80310,- Plantains,Argentina,WLD, World,Export,6,,,0.192,
H4,ARG,80410,- Dates,Argentina,WLD, World,Export,6,,,3.72,
H4,ARG,80420,- Figs,Argentina,WLD, World,Export,6,749.726,642.095,353.08,397.417
H4,ARG,80440,- Avocados,Argentina,WLD, World,Export,6,486.233,123.176,216.946,237.341
H4,ARG,80450,"- Guavas, mangoes and mangosteens",Argentina,WLD, World,Export,6,10.612,4.64,17.866,57.67
H4,ARG,80510,- Oranges,Argentina,WLD, World,Export,6,26264.821,25168.987,22267.476,30738.449
H4,ARG,80520,- Mandarins (including tangerines a,Argentina,WLD, World,Export,6,74600.016,73523.655,42614.841,43738.432
H4,ARG,80540,"- Grapefruit, including pomelos",Argentina,WLD, World,Export,6,662.988,81.749,57.57,305.724
H4,ARG,80550,"- Lemons (Citrus limon, Citrus limo",Argentina,WLD, World,Export,6,234190.233,166015.973,187917.929,289442.114
H4,ARG,80590,- Other,Argentina,WLD, World,Export,6,4.61,,,
H4,ARG,80610,- fresh,Argentina,WLD, World,Export,6,37390.852,29463.33,20063.716,15059
H4,ARG,80620,- Dried,Argentina,WLD, World,Export,6,65458.47,38129.119,47988.522,53360.952
H4,ARG,80711,-- Watermelons,Argentina,WLD, World,Export,6,19.563,22.5,26.069,1.58
H4,ARG,80719,-- Other,Argentina,WLD, World,Export,6,22.077,35.91,16.034,29.2
H4,ARG,80810,- Apples,Argentina,WLD, World,Export,6,157394.056,137386.516,85782.327,73728.574
H4,ARG,80830,- Pears,Argentina,WLD, World,Export,6,422065.294,379301.843,283125.858,270040.941
H4,ARG,80840,- Quinces,Argentina,WLD, World,Export,6,35.975,34.47,32.536,10.404
H4,ARG,80910,- Apricots,Argentina,WLD, World,Export,6,,85.933,30.128,12.08
H4,ARG,80921,-- Sour cherries (Prunus cerasus),Argentina,WLD, World,Export,6,685.72,1026.878,998.866,954
H4,ARG,80929,-- Other,Argentina,WLD, World,Export,6,4816.948,11537.404,9023.866,17068.101
H4,ARG,80930,"- Peaches, including nectarines",Argentina,WLD, World,Export,6,6732.537,4305.048,2451.937,1254.267
H4,ARG,80940,- Plums and sloes,Argentina,WLD, World,Export,6,5610.805,2467.071,2868.347,944.571
H4,ARG,81010,- Strawberries,Argentina,WLD, World,Export,6,16.8,,,
H4,ARG,81020,"- Raspberries, blackberries, mulber",Argentina,WLD, World,Export,6,6.715,2.714,2.591,16.599
H4,ARG,81040,"- Cranberries, bilberries and Other",Argentina,WLD, World,Export,6,86990.178,116580.114,103446.641,124571.005
H4,ARG,81050,- Kiwifruit,Argentina,WLD, World,Export,6,153.944,774.647,323.525,315.678
H4,ARG,81070,- Persimmons,Argentina,WLD, World,Export,6,0.9,,11.4,26.938
H4,ARG,81090,- Other,Argentina,WLD, World,Export,6,373.4,355.781,676.464,856.295
H4,ARG,81110,- Strawberries,Argentina,WLD, World,Export,6,7959.56,10698.617,7403.555,5581.132
H4,ARG,81120,"- Raspberries, blackberries, mulber",Argentina,WLD, World,Export,6,,234.215,157.14,236.983
H4,ARG,81190,- Other,Argentina,WLD, World,Export,6,9312.235,8765.371,7005.701,6961.924
H4,ARG,81210,- cherries,Argentina,WLD, World,Export,6,284.128,40.95,,22.75
H4,ARG,81310,- Apricots,Argentina,WLD, World,Export,6,348.663,80.333,302.773,190.077
H4,ARG,81320,- Prunes,Argentina,WLD, World,Export,6,82333.778,42704.94,63187.6,57617.694
H4,ARG,81330,- Apples,Argentina,WLD, World,Export,6,7054.63,6820.892,6464.152,6681.615
H4,ARG,81340,- Other fruit,Argentina,WLD, World,Export,6,4403.563,2254.922,2532.099,2536.758
H4,ARG,81350,- Mixtures of nuts or Dried Fruits,Argentina,WLD, World,Export,6,29.964,109.044,17.804,25.287
